Kanji,Word,Meaning,Meaning_FR,Meaning_KR
献,貢献,"contribution, services","contribution, services","기여, 서비스"
献,文献,"literature, books (reference), document","littérature, livres (référence), document","문학, 서적(참고문헌), 문서"
献,献血,blood donation,don de sang,헌혈
献,献花,flower offering,offrande de fleurs,꽃 제공
献,献立,"menu, program, programme, schedule","menu, programme, programme, calendrier","메뉴, 프로그램, 프로그램, 일정"
献,献上,presenting to,se présenter à,발표를 통해
献,献身,"dedication, devotion","dévouement, dévouement","헌신, 헌신"
献,献身的,devoted,Consacré,헌신
献,献体,give one's body to a hospital for medical research,donner son corps à un hôpital pour la recherche médicale,의학 연구를 위해 병원에 몸을 제공
維,維持,"maintenance, preservation, improvement","entretien, préservation, amélioration","유지 보수, 보존, 개선"
維,繊維,"fibre, fiber, textile","fibres, fibres, textiles","섬유, 섬유, 섬유"
維,維新,restoration (e.g. Meiji),restauration (p. ex. Meiji),복원(예: 메이지)
維,合成繊維,"synthetic fibre, synthetic fiber","fibres synthétiques, fibres synthétiques","합성 섬유, 합성 섬유"
維,化学繊維,"synthetic fibers, synthetic fibres","fibres synthétiques, fibres synthétiques","합성 섬유, 합성 섬유"
維,維,"this (indicating an item near the speaker, the action of the speaker, or the current topic); this person (usu. indicating someone in one's in-group); now; here; I (me); certainly","ceci (indiquant un élément près de l’orateur, l’action de l’orateur, ou le sujet actuel); cette personne (usu. indiquant quelqu’un dans son groupe); maintenant; ici; Je (moi); Certainement","이 것(스피커 근처의 항목, 스피커의 동작 또는 현재 주제 표시); 이 사람 (usu. 그룹의 누군가를 나타내는); 지금; 여기; 나는 (나); 확실히"
維,維持費,maintenance costs,frais d’entretien,유지 보수 비용
維,原繊維,"raw fibers, raw fibres, minute fibers, minute fibres","fibres brutes, fibres brutes, fibres infimes, fibres infimes","원시 섬유, 원시 섬유, 분 섬유, 분 섬유"
維,光学繊維,"fiber optics, fibre optics","fibre optique, fibre optique","광섬유, 광섬유"
維,食物繊維,"dietary fiber, dietary fibre","fibres alimentaires, fibres alimentaires","식이 섬유, 식이 섬유"
己,己,"oneself (itself, etc.); I (or me); you; by oneself (itself, etc.); interjection expressing anger or chagrin","soi-même (lui-même, etc.); Moi (ou moi); vous; par soi-même (lui-même, etc.); interjection exprimant la colère ou le chagrin",자신 (자신 등); 나 (또는 나); 당신; 자신에 의해 (자신 등); 분노 나 분노를 표현하는 간섭
己,自己,"self, oneself","soi-même, soi-même",자기 자신
己,自己資本,"net worth, owned capital","valeur nette, capital détenu","순자산, 소유 자본"
己,克己,"self denial, self control","l’abnégation, le contrôle de soi","자기 부정, 자기 통제"
己,自己紹介,self-introduction,auto-introduction,자기 소개
己,知己,"acquaintance, appreciative friend","connaissance, ami reconnaissant","지인, 감사하는 친구"
己,自己批判,self-criticism,autocritique,자기 비판
己,自己流,"one's own style, self-taught manner","son propre style, la manière autodidacte","자신의 스타일, 독학 방식"
己,利己,self-interest,intérêt personnel,이기심
己,己,"(masc) I, me (rough or arrogant-sounding first-person pronoun, formerly also used by women)","(masc) Moi, moi (pronom à la première personne rugueux ou arrogant, autrefois aussi utilisé par les femmes)","(마크) 나, 나 (거칠거나 오만 한 소리 1 인칭 대명사, 이전에도 여성에 의해 사용)"
浜,浜,"beach, seashore","plage, bord de mer","해변, 해변"
浜,砂浜,sandy beach,plage de sable fin,모래 해변
浜,海浜,seaside,Mer,해변
浜,浜辺,"beach, foreshore","plage, estran","해변, 해안"
浜,白浜,white sandy beach,plage de sable blanc,하얀 모래 해변
浜,浜のまさご,grains of sand on the beach (i.e. something countless),grains de sable sur la plage (c’est-à-dire quelque chose d’innombrables),"해변에 모래의 곡물 (즉, 무수한 무언가)"
浜,入り浜,salt farm,ferme de sel,소금 농장
浜,浜風,"sea breeze, beach wind","brise de mer, vent de plage","바닷바람, 해변 바람"
浜,浜茄子,sweet briar,briar doux,달콤한 브라이어
浜,浜焼き,freshly caught seafood broiled at a beach,fruits de mer fraîchement pêchés grillés sur une plage,해변에서 갓 잡은 해산물 구이
塁,本塁打,home run (baseball),home run (baseball),홈런 (야구)
塁,三塁,third base,troisième base,3루수
塁,二塁,second base,deuxième base,두 번째 베이스
塁,二塁打,"two-base hit, double","coup de deux bases, double","2루수 히트, 더블"
塁,満塁,bases loaded (baseball),bases chargées (baseball),베이스 로드 (야구)
塁,一塁,"first base, (a) fort","première base, (a) fort","1루, (a) 요새"
塁,塁,base (baseball),base (baseball),베이스 (야구)
塁,三塁打,"three-base hit, triple","coup de trois bases, triple","3루수 히트, 트리플"
塁,盗塁,theft; base stealing (baseball),vol; vol de base (baseball),도난; 베이스 훔치기 (야구)
塁,本塁,"base, stronghold, main fort, home plate","base, forteresse, fort principal, plaque d’accueil","기지, 요새, 메인 요새, 홈 플레이트"
邦,連邦,"commonwealth, federation of states","commonwealth, fédération des États","연방, 주 연맹"
邦,邦人,fellow countryman; Japanese (nationals or residents),compatriote; Japonais (ressortissants ou résidents),동료 시골 사람; 일본어(국적자 또는 거주자)
邦,邦楽,(traditional) Japanese music,(traditionnel) Musique japonaise,(전통) 일본 음악
邦,東邦,"Oriental country, the Orient","Pays oriental, l’Orient","동양 국가, 동양"
邦,邦画,Japanese film,Film japonais,일본 영화
邦,邦訳,translation into Japanese,traduction en japonais,일본어로 번역
邦,本邦,"this country, our country","ce pays, notre pays","이 나라, 우리 나라"
邦,異邦人,"foreigner, stranger, gentile","étranger, étranger, gentil","외국인, 낯선 사람, 이방인"
邦,友邦,friendly nation,nation amicale,우호적인 국가
邦,邦,"country, (the) state; region; province (of Japan); home (i.e. hometown, home country); land, earth","pays, (l') État; région; province (du Japon); maison (c.-à-d. ville natale, pays d’origine); terre, terre","국가, () 주; 지역; (일본); 홈 (즉, 고향, 고향); 토지, 지구"
墓,墓,"gravesite, tomb","tombe, tombe","묘지, 무덤"
墓,墓地,"cemetery, graveyard","cimetière, cimetière","묘지, 묘지"
墓,墓参,visit to a grave,visite d’une tombe,무덤방문
墓,墓石,"tombstone, gravestone","pierre tombale, pierre tombale",묘비·묘비
墓,墓前,in front of a grave,devant une tombe,무덤 앞
墓,墓場,"graveyard, cemetery","cimetière, cimetière","묘지, 묘지"
墓,墓穴,"grave, specifically the hole in the ground","grave, en particulier le trou dans le sol","무덤, 특히 땅에 구멍"
墓,墓標,"grave-marker, gravestone","grave-marqueur, pierre tombale","무덤 표식, 묘비"
墓,陵墓,imperial tomb or mausoleum,tombe impériale ou mausolée,황실 무덤 또는 무덤
墓,墓所,graveyard,Cimetière,묘지
汽,汽車,train (steam),train (vapeur),기차 (증기)
汽,汽船,"steamship, steamboat, steamer","bateau à vapeur, bateau à vapeur, vapeur","증기선, 증기선, 증기선"
汽,汽笛,steam whistle,sifflet à vapeur,증기 휘파람
汽,汽車賃,train fare,tarif de train,기차 요금
汽,汽水,brackish water,eau saumâtre,소금기 많은 물
汽,夜汽車,night train,train de nuit,야간 열차
汽,蒸汽船,"steamship, steamboat, steamer","bateau à vapeur, bateau à vapeur, vapeur","증기선, 증기선, 증기선"
汽,汽缶,boiler,Chaudière,보일 러
汽,汽罐,boiler,Chaudière,보일 러
汽,汽缶室,boiler room,Chaufferie,보일러 룸
忠,忠実,"faithful, loyal, devoted; hardworking, painstaking, diligent; healthy, fit","fidèles, loyaux, dévoués; travailleurs, laborieux, diligents; en bonne santé, en forme","충실하고, 충성스럽고, 헌신적입니다. 근면, 근면, 부지런; 건강하고 건강합니다."
忠,忠臣,"loyal retainer, loyal subject","fidèle serviteur, sujet loyal","충성도 높은 보유자, 충성도 높은 주제"
忠,忠誠,"loyalty, sincerity","fidélité, sincérité","충성도, 성실"
忠,忠義,"loyalty, devotion","loyauté, dévotion","충성도, 헌신"
忠,忠告,"advice, warning","conseils, avertissement","조언, 경고"
忠,忠魂,"loyalty, the loyal dead","loyauté, les morts loyaux","충성, 충성스러운 죽은"
忠,忠孝,loyalty and filial piety,fidélité et piété filiale,충성심과 경건함
忠,忠なる,"devoted, loyal, true, faithful","dévoué, loyal, vrai, fidèle","헌신적인, 충성, 참된, 충실한"
忠,忠犬,faithful dog (Hachiko),chien fidèle (Hachiko),충실한 개 (하치코)
忠,口忠実,"talkative, voluble","bavard, volubile","말하기, 휘발성"
遣,派遣,"dispatch, despatch, send","expédition, expédition, envoyer","파견, 파견, 보내기"
遣,小遣い,"pocket money, spending money, pin money, allowance","argent de poche, l’argent de poche, l’argent de broche, l’allocation","용돈, 지출 돈, 핀 돈, 수당"
遣,先遣,sending ahead,envoi à l’avance,미리 보내기
遣,無駄遣い,"wasting ... on (e.g. money), squandering, waste, frittering away","Perdre... sur (p. ex. l’argent), gaspiller, gaspiller,","낭비... (예: 돈), 낭비, 낭비, 멀리 튀김"
遣,言葉遣い,"speech, expression, wording","discours, expression, formulation","연설, 표현, 표현"
遣,気遣い,"consideration, concern, fear, worry, solicitude","considération, préoccupation, peur, inquiétude, sollicitude","배려, 관심사, 두려움, 걱정, 권유"
遣,心遣い,"solicitude, anxiety, regard for","sollicitude, l’anxiété, le respect pour","권유, 불안, 에 대한 관심"
遣,遣唐使,envoy (to T'ang China),envoyé (à T’ang Chine),특사 (중국 탕)
遣,人形遣い,"puppet operator, puppet manipulator, puppeteer","opérateur de marionnettes, manipulateur de marionnettes, marionnettiste","퍼펫 연산자, 퍼펫 조작기, 꼭두각시"
遣,気遣う,"to worry about, to feel anxious about, to have apprehensions of","de s’inquiéter, de se sentir anxieux, d’avoir des appréhensions de","걱정, 걱정, 불안을 가지고"
抗,抵抗,"electrical resistance, resistance, opposition","résistance électrique, résistance, opposition","전기 저항, 저항, 반대"
抗,抗議,"protest, objection","protestation, objection","항의, 이의 제기"
抗,対抗,"opposition, antagonism","opposition, antagonisme","반대, 적대감"
抗,抗争,"dispute, resistance","conflit, résistance","분쟁, 저항"
抗,抗生物質,antibiotics,Antibiotiques,항생제
抗,抗体,antibody,Anticorps,항 체
抗,抗戦,resistance,Résistance,저항
抗,抗日,anti-Japanese,anti-japonais,반일
抗,抗告,"kokoku (interlocutory) appeal, protest, complaint","kokoku (interlocutoire) appel, protestation, plainte","코코쿠(대담) 항소, 항의, 불만"
抗,抗原,antigen,Antigène,Antigen
沿,沿って,"along, by, parallel to","le long, par, parallèle à",병렬
沿,沿い,along,le long,따라
沿,沿岸,"coast, shore, littoral","côte, rivage, littoral","해안, 해안, 연안"
沿,沿道,"route, course, roadside","itinéraire, cours, bord de la route","경로, 코스, 길가"
沿,沿線,along railway line,le long de la ligne de chemin de fer,철도 노선을 따라
沿,川沿い,"along the river, riverside","le long de la rivière, au bord de la rivière",강변을 따라 강변
沿,沿海,"coast, shore, inshore, coastal waters","côte, rivage, côtière, eaux côtières","해안, 해안, 내륙, 연안 해역"
沿,沿海州,(Russian) maritime provinces,provinces maritimes (russes),(러시아) 해양 지역
沿,沿う,"to run along, to run beside; to follow (a plan, etc.), to act in accordance with","courir le long, de courir à côté; à suivre (un plan, etc.), d’agir conformément à","옆으로 실행, 따라 실행; (계획 등)"
沿,沿革,"history, development","histoire, le développement","역사, 개발"
雄,雄,male (animal),mâle (animal),남성 (동물)
雄,英雄,"hero, great man","héros, grand homme","영웅, 위대한 사람"
雄,雄弁,"oratory, eloquence","oratoire, éloquence","구술, 웅변"
雄,雄大,"grandeur, magnificence, splendour, splendor","grandeur, magnificence, splendeur, splendeur","웅장함, 웅장함, 화려함, 화려함"
雄,雌雄,male and female (animal),mâle et femelle (animal),수컷과 암컷(동물)
雄,雄姿,gallant figure,figure galante,용감한 그림
雄,雄花,male flower,fleur mâle,남성 꽃
雄,両雄,two great men (rivals),deux grands hommes (rivaux),두 위대한 남자 (라이벌)
雄,群雄割拠,"rivalry of local warlords, a number of powerful (talented, influential) persons standing by themselves in a given field","rivalité des seigneurs de guerre locaux, un certain nombre de personnes puissantes (talentueuses, influentes) debout par elles-mêmes dans un domaine donné","지역 장군의 경쟁, 주어진 분야에서 스스로 서 강력한 (재능, 영향력있는) 사람들의 숫자"
雄,雄たけび,"war cry, roar","cri de guerre, rugissement","전쟁의 외침, 포효"
誠,誠に,"indeed, really, absolutely, truly, actually, very, quite","en effet, vraiment, absolument, vraiment, en fait, très, tout à fait","실제로, 정말, 절대적으로, 진정으로, 실제로, 아주, 아주"
誠,誠意,"sincerity, good faith","sincérité, bonne foi","성실, 선의"
誠,誠実,"sincere, honest, faithful","sincère, honnête, fidèle","성실하고, 정직하며, 충실한"
誠,忠誠,"loyalty, sincerity","fidélité, sincérité","충성도, 성실"
誠,誠心,sincerity,Sincérité,성실
誠,至誠,"sincerity, devotion","sincérité, dévotion","성실, 헌신"
誠,誠,"truth, reality; sincerity, honesty, integrity, fidelity; that's right (used when recalling forgotten information, suddenly changing the subject, etc.)","vérité, réalité; sincérité, honnêteté, intégrité, fidélité; c’est vrai (utilisé lors du rappel d’informations oubliées, tout à coup changer le sujet, etc))","진실, 현실; 성실, 정직, 성실, 충실함; (잊어 버린 정보를 회수할 때 사용, 갑자기 피사체를 변경하는 등)"
誠,誠しやかに,"as if it were true, with seeming truth, plausibly","comme si c’était vrai, avec la vérité apparente, vraisemblablement","마치 사실인 것처럼, 겉보기에 진리와 함께, 그럴듯하게"
誠,誠心誠意,"in all sincerity, with one's whole heart, whole-hearted devotion","en toute sincérité, avec tout son cœur, dévotion de tout cœur",온 마음을 다해 온 마음을 다해 헌신
誠,丹誠,"working earnestly, sincerity, diligence, effort, pains","travailler sérieusement, la sincérité, la diligence, l’effort, les douleurs","성실, 성실, 근면, 노력, 고통"
緊,緊急,"urgent, pressing, emergency","urgent, pressant, d’urgence","긴급, 긴급, 비상 사태"
緊,緊張,"tension, mental strain, nervousness","tension, tension mentale, nervosité","긴장, 정신적 긴장, 신경질"
緊,緊密,"rigour, rigor, closeness, compactness, tightly knit","rigueur, rigueur, proximité, compacité, tricot serré","엄격, 엄격, 친밀감, 컴팩트함, 단단히 뜨개질"
緊,緊迫,"tension, strain","tension, tension","긴장, 변형"
緊,緊縮,"shrinkage, contraction, economy, retrenchment","rétrécissement, contraction, économie, réduction","수축, 수축, 경제, 재건"
緊,緊要,"momentous, exigent, urgent, important, vital","momentané, exigeant, urgent, important, vital","중대한, 긴급, 중요, 중요한"
緊,緊い,"hard, solid, tough; stiff, tight, wooden, unpolished (e.g. writing); strong, firm (not viscous or easily moved); safe, steady, honest, steadfast; obstinate, stubborn; bookish, formal, stuffy","dur, solide, dur; rigide, serré, en bois, non poli (p. ex. écriture); forte, ferme (pas visqueux ou facilement déplacé); sûr, stable, honnête, inébranlable; obstiné, têtu; bookish, formel, étouffant","하드, 고체, 힘든; 딱딱한, 단단한, 나무, 광택이없는 (예 : 쓰기); 강한, 회사 (점성 또는 쉽게 이동하지 않음); 안전하고, 꾸준하고, 정직하며, 굳건하다. 고집, 고집; 책, 정장, 답답한"
緊,緊まる,"to be shut, to close, to be closed; to be locked; to tighten, to be tightened; to become sober, to become tense","d’être fermé, de fermer, d’être fermé; à verrouiller; serrer, être resserré; pour devenir sobre, pour devenir tendu","닫고, 닫고, 닫을 수 있습니다. 잠글 수 있습니다. 조여, 조여; 냉정해지고, 긴장감이 되기 위해"
緊,緊める,"to tie, to fasten; to total, to sum; to be strict with; to economize (economise), to cut down on","d’attacher, de s’attacher; au total, à somme; d’être strict avec; d’économiser (économiser), de réduire","넥타이, 고정; 합계로, 합계; 엄격해야 합니다. 경제화(경제)를 위해"
緊,緊と,"tightly, firmly, fast; sharply, keenly","étroitement, fermement, rapide; fortement, vivement","단단히, 단단히, 빠른; 날카롭게, 날카롭게"
巣,巣,"nest, rookery, breeding place, hive; den; haunt; (spider's) web","nid, rookery, lieu de reproduction, ruche; den; hanter; (araignée) toile","둥지, 루커리, 번식지, 하이브; 덴; 유령; (거미) 웹"
巣,古巣,"old haunts, former homes","vieux repaires, anciennes maisons","오래된 유령, 이전 주택"
巣,卵巣,ovary,Ovaire,난소
巣,巣立つ,to leave the nest,de quitter le nid,둥지를 떠나려면
巣,営巣,building a nest,construire un nid,둥지 를 구축
巣,病巣,focus,Se concentrer,초점
巣,巣箱,"nest box, (bee) hive, frame, super","boîte à nichoir, ruche (abeille), cadre, super","둥지 상자, (꿀벌) 하이브, 프레임, 슈퍼"
巣,空き巣,"prowler, sneak thief, cat burglar; empty nest","prowler, voleur furtif, cambrioleur de chat; nid vide","도회자, 몰래 도둑, 고양이 강도; 빈 둥지"
巣,巣立ち,"leaving the nest, becoming independent","quitter le nid, devenir indépendant","둥지를 떠나, 독립화"
巣,巣くう,"to build (a nest), to nest; to haunt (a place), to hang out (somewhere)","construire (un nid), pour nicher; hanter (un endroit), pour traîner (quelque part)","중첩할 (둥지)를 빌드합니다. (장소) 유령, 놀기 (어딘가에)"
俳,俳優,"actor, actress, player, performer","acteur, actrice, joueuse, interprète","배우, 배우, 선수, 연기자"
俳,俳句,"haiku poetry (17-syllable poem usually in 3 lines of 5, 7 and 5 syllables)","poésie haïku (poème de 17 syllabes généralement en 3 lignes de 5, 7 et 5 syllabes)","하이쿠 시 (보통 5, 7, 5 음절의 3 줄에 17 음절 시)"
俳,俳人,haiku poet,poète haïku,하이쿠 시인
俳,俳壇,the world of the haiku,le monde du haïku,하이쿠의 세계
俳,俳諧,haikai (humourous or vulgar renga poetry) (humorous),haikai (poésie humoristique ou vulgaire renga) (humoristique),하이카이 (유머 또는 저속한 렌가 시) (유머러스)
俳,俳画,"briefly drawn picture, haiku picture","image brièvement dessinée, image de haïku","간략하게 그린 그림, 하이쿠 그림"
俳,俳号,pseudonym of a haiku poet,pseudonyme d’un poète haïku,하이쿠 시인의 가명
俳,俳聖,"famous haiku poet, the poet Basho","célèbre poète haïku, le poète Basho","유명한 하이쿠 시인, 시인 바쇼"
俳,俳文,prose with a poetic haiku flavor (flavour),prose à saveur poétique de haïku (saveur),시적인 하이쿠 맛 (풍미)
俳,俳味,"subdued taste, refined taste, haiku (poetic) flavor (flavour)","goût tamisé, goût raffiné, haïku (poétique) saveur (saveur)","차분한 맛, 세련된 맛, 하이쿠 (시적) 맛 (맛)"
廃,廃棄,"annulment, disposal, abandon, scrap, discarding, repeal","annulation, élimination, abandon, ferraille, rejet, abrogation","무효, 처분, 포기, 폐기, 폐기, 폐지"
廃,廃止,"abolition, repeal","l’abolition, l’abrogation",폐지·폐지
廃,廃案,rejected bill (project),projet de loi rejeté (projet),거부된 청구서(프로젝트)
廃,撤廃,"annulment, abolition, repeal, rescission","annulation, abolition, abrogation, réscision","무효, 폐지, 폐지, 폐지"
廃,全廃,total abolition,abolition totale,총 폐지
廃,廃絶,"extinction, abolition","l’extinction, l’abolition","소멸, 폐지"
廃,荒廃,ruin,Ruine,망치
廃,廃虚,ruins,Ruines,유적
廃,廃業,"cessation of business, discontinuation of business","cessation d’activité, cessation d’activité","사업 중단, 사업 중단"
廃,存廃,"(whether to) continue or eliminate, existence","(que ce soit pour) continuer ou éliminer, l’existence","(여부) 계속 또는 제거, 존재"
江,江,"inlet, bay","entrée, baie","입구, 베이"
江,江戸,old name of Tokyo,ancien nom de Tokyo,도쿄의 옛 이름
江,江戸川,Edo River,Rivière Edo,에도가와 강
江,堀江,canal,canal,운하
江,江戸っ子,true Tokyoite,vrai Tokyoite,진정한 도쿄
江,江戸前,Tokyo style,Style Tokyo,도쿄 스타일
江,江上,(on the) bank of a large river,(sur la) rive d’une grande rivière,(큰 강의) 제방에
江,江,large river (esp. the Yangtze); Lake Biwa,grand fleuve (esp. le Yangtze); Lac Biwa,큰 강 (양쯔강); 비와호
江,江に,"fate, destiny (esp. as a mysterious force that binds two people together); relationship (e.g. between two people), bond, link, connection; family ties, affinity; opportunity, chance (to meet someone and start a relationship); pratyaya (indirect conditions, as opposed to direct causes); narrow open-air veranda","destin, destin (esp. comme une force mystérieuse qui lie deux personnes ensemble); relation (p. ex. entre deux personnes), lien, lien, connexion; liens familiaux, affinité; l’occasion, la chance (de rencontrer quelqu’un et de commencer une relation); pratyaya (conditions indirectes, par opposition à des causes directes); véranda étroite en plein air","운명, 운명 (esp. 함께 두 사람을 묶는 신비한 힘으로); 관계(예: 두 사람 사이), 유대, 링크, 연결; 가족 관계, 친화력; 기회, 기회 (누군가를 만나 관계를 시작); pratyaya (간접 조건, 직접적인 원인과 는 반대로); 좁은 야외 베란다"
江,長江,"Yangtze River, Changjiang River","Fleuve Yangtze, rivière Changjiang","양쯔강, 창장강"
僚,閣僚,cabinet ministers,Ministres,내각 장관
僚,官僚,"bureaucrat, bureaucracy","bureaucrate, bureaucratie","관료, 관료"
僚,同僚,"coworker, colleague, associate","collaborateur, collègue, associé","동료, 동료, 동료"
僚,幕僚,"staff, staff officer","personnel, agent d’état-major","직원, 직원"
僚,統合幕僚会議,Joint Staff Council,Conseil mixte du personnel,합동 직원 협의회
僚,僚友,"colleague, workmate, comrade, coworker","collègue, collègue de travail, camarade, collègue","동료, 직장 동료, 동지, 동료"
僚,僚船,consort ship,navire consort,동족 선박
僚,一般幕僚,general staff,personnel général,일반 직원
僚,下僚,"subordinates, petty officials","subordonnés, petits fonctionnaires","부하, 사소한 공무원"
僚,閣僚レベル,cabinet-level,cabinet-niveau,캐비닛 수준
飼,飼育,"breeding, raising, rearing","l’élevage, l’élevage, l’élevage","사육, 양육, 양육"
飼,飼料,"fodder, feed","fourrage, alimentation","사료, 사료"
飼,飼い主,"shepherd, (pet) owner","berger, propriétaire (animal de compagnie)","목자, (애완 동물) 소유자"
飼,飼う,"to keep, to raise, to feed","de garder, d’élever, de nourrir","유지, 인상, 먹이"
飼,飼い犬,pet dog,Chien,애완견
飼,放し飼い,"pasturing, grazing, letting (a dog) run free","pâturage, pâturage, laisser (un chien) courir librement","(개) 무료로 실행시키는, 방목, pasturing"
飼,飼い猫,pet cat,chat d’animal familier,애완 동물 고양이
飼,子飼い,protege,protégé,추종
飼,飼いならす,"to tame (e.g. animal), to domesticate","apprivoiser (p. ex. animal), domestiquer","길들이기 위해(예: 동물), 길들이기"
飼,飼いならし,"taming, the taming of","apprivoiser, l’apprivoisement de","길들이기, 길들이기"
聖,棋聖,great master of go (shogi),grand maître de go (shogi),바둑의 위대한 주인 (장기)
聖,聖域,"sacred precincts, sanctuary, consecrated ground","enceintes sacrées, sanctuaire, terrain consacré","신성한 구역, 성소, 헌납된 땅"
聖,聖書,"Bible, scriptures","Bible, Écritures","성경, 경전"
聖,聖地,"sacred place, holy ground, the Holy Land","lieu sacré, terre sainte, la Terre Sainte","성지, 거룩한 땅, 성지"
聖,聖戦,"holy war, crusade","guerre sainte, croisade","거룩한 전쟁, 십자군 전쟁"
聖,聖火,sacred fire (torch); Olympic flame,feu sacré (torche); Flamme olympique,신성한 화재 (횃불); 올림픽 불꽃
聖,聖堂,"(Confucian) temple, church, sanctuary","temple (confucéen), église, sanctuaire","(유교) 성전, 교회, 성소"
聖,神聖,"holiness, sacredness, dignity","sainteté, le caractère sacré, la dignité","거룩함, 신성함, 존엄성"
聖,聖職者,"clergyman, churchman, clergy","ecclésiastique, ecclésiastique, clergé","성직자, 교회, 성직자"
聖,聖母,birth mother of a holy man (or woman); Virgin Mary,mère biologique d’un saint homme (ou d’une femme); Vierge Marie,거룩한 남자 (또는 여자)의 출생 어머니; 성모 마리아
吉,吉兆,"lucky omen, good omen","présage chanceux, bon présage","행운의 징조, 좋은 징조"
吉,不吉,"ominous, sinister, bad luck, ill omen, inauspiciousness","sinistre, sinistre, malchance, mauvais présage, l’in mauvais augure","불길한, 불길한, 불운, 아픈 징조, 불길"
吉,大吉,excellent luck,excellente chance,훌륭한 행운
吉,吉,"good fortune, good luck","bonne fortune, bonne chance","행운, 행운"
吉,吉報,good news,Bonne nouvelle,좋은 소식
吉,吉い,"good, excellent, fine, nice, pleasant, agreeable; sufficient (can be used to turn down an offer), ready, prepared; profitable (e.g. deal, business offer, etc.), beneficial; OK","bon, excellent, fin, agréable, agréable, agréable; suffisant (peut être utilisé pour refuser une offre), prêt, préparé; rentable (p. ex. offre, offre d’affaires, etc.), bénéfique; D'accord","좋은, 우수한, 좋은, 좋은, 쾌적한, 쾌적한; 충분한 (제안을 거절하는 데 사용할 수 있습니다), 준비; 수익성(예: 거래, 사업 제안 등), 유익한; 그래"
吉,英吉利,"Great Britain, United Kingdom","Grande-Bretagne, Royaume-Uni","영국, 영국"
吉,吉利支丹,"early Japanese Christianity (from the later Muromachi period), early Japanese Christian","christianisme japonais précoce (de la période muromachi postérieure),","초기 일본 기독교 (후기 무로마치 시대부터), 초기 일본 기독교"
吉,吉凶,"sunshine and shadow, fortune","soleil et ombre, fortune","햇빛과 그림자, 재산"
吉,吉祥,"lucky omen, happy, auspicious","présage chanceux, heureux, de bon augure","행운의 징조, 행복, 상서로운"
羊,羊,sheep,mouton,양
羊,羊毛,wool,Laine,모직
羊,羊水,amniotic fluid,Amniotique,양수
羊,羊肉,"mutton, lamb (meat)","mouton, agneau (viande)","양고기, 양고기 (고기)"
羊,牡羊,ram,Ram,Ram
羊,雄羊,ram,Ram,Ram
羊,牡羊座,"(constellation) Aries, the Ram","(constellation) Bélier, le Ram","(별자리) 양자리, 램"
羊,山羊,goat,Chèvre,염소
羊,野羊,goat,Chèvre,염소
羊,山羊座,"(constellation) Capricornus, Capricorn, the Goat","(constellation) Capricorne, Capricorne, la Chèvre","(별자리) 염소 자리, 염소 자리, 염소, 염소"
踏,踏まえる,"to be based on, to have origin in","d’être basé sur, d’avoir l’origine dans","에 기초할 수 있도록, 원산지가 있어야 합니다."
踏,踏切,"railway crossing, railroad crossing, train crossing, level crossing; starting line, scratch; determination; stepping over the edge of the ring (in sumo)","passage à niveau, passage à niveau, passage à niveau, passage à niveau; ligne de départ, rayures; détermination; marcher sur le bord de l’anneau (en sumo)","철도 횡단, 철도 횡단, 기차 횡단, 레벨 횡단; 시작 선, 스크래치; 결정; 링의 가장자리를 밟는 다(스모)"
踏,踏む,"to step on, to tread on; to experience, to undergo; to estimate, to value, to appraise; to rhyme; to inherit (the throne, etc.); to follow (rules, morals, principles, etc.)","d’intervenir, de marcher sur; faire l’expérience, subir; estimer, en valeur, à évaluer; à rimer; hériter (le trône, etc.); à suivre (règles, morale, principes, etc.)","단계로, 밟고; 경험, 받아야; 평가, 가치, 평가; 운율; 상속 (보좌 등); 따라야 합니다(규칙, 도덕, 원칙 등)"
踏,舞踏,dancing,Danse,춤
踏,足踏み,"stepping, stamping, marking time","marcher, estampiller, marquer le temps","스테핑, 스탬핑, 마킹 시간"
踏,踏み絵,"tablet bearing Christian images, on which Edo-period authorities forced suspected Christians to trample","tablette portant des images chrétiennes, sur laquelle les autorités de la période Edo ont forcé les chrétiens présumés à piétiner",에도 시대 당국이 의심하는 그리스도인들을 짓밟도록 강요한 기독교 이미지가 담긴 태블릿
踏,踏ん張る,"to brace one's legs, to straddle, to stand firm, to plant oneself (somewhere), to hold out, to persist","pour se serrer les jambes, pour chevaucher, pour se tenir ferme, pour se planter (quelque part), pour tenir, pour persister","다리를 받치고, 걸으며, 굳게 서고, 자신을 심고(어딘가에), 버팀목으로"
踏,雑踏,"congestion, traffic jam, throng, hustle and bustle","congestion, embouteillages, foule, agitation","혼잡, 교통 체증, 군중, 번잡함"
踏,踏み入れる,"to walk in on, to tread upon","de marcher sur, de marcher sur","에 걸어, 에 밟아"
踏,踏み込み,"stepping into, breaking or rushing into","entrer, entrer par effraction ou se précipiter dans","에 스테핑, 침입 또는 에 돌진"
壊,崩壊,"collapse, crumbling, breaking down, caving in; decay (physics)","s’effondrer, s’effondrer, se décomposer, s’insindre; pourriture (physique)","붕괴, 무너지고, 무너지고, 무너지고, 동굴에 동굴; 부패 (물리학)"
壊,破壊,"destruction, disruption; (application) crash","destruction, perturbation; (application) crash","파괴, 파괴; (응용 프로그램) 충돌"
